
Profiler Report

Profile stats for: on_validation_epoch_start
         120 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 callback_hook.py:78(on_validation_epoch_start)
       15    0.000    0.000    0.000    0.000 training_io.py:177(get_model)
        5    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        5    0.000    0.000    0.000    0.000 model_hooks.py:23(is_function_implemented)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        5    0.000    0.000    0.000    0.000 profilers.py:54(profile)
        5    0.000    0.000    0.000    0.000 profilers.py:209(stop)
       15    0.000    0.000    0.000    0.000 module.py:758(__getattr__)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       10    0.000    0.000    0.000    0.000 base.py:76(on_validation_epoch_start)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        5    0.000    0.000    0.000    0.000 hooks.py:229(on_validation_epoch_start)
        5    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: validation_step_end
         255667 function calls in 132.150 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1841    0.052    0.000  132.135    0.072 model.py:177(validation_step_end)
     3682  130.739    0.036  130.739    0.036 {method 'masked_select' of 'torch._C._TensorBase' objects}
     9197    0.050    0.000    0.664    0.000 model.py:183(<genexpr>)
     7356    0.058    0.000    0.532    0.000 module.py:710(_call_impl)
     7356    0.025    0.000    0.457    0.000 loss.py:946(forward)
     7356    0.041    0.000    0.423    0.000 functional.py:2370(cross_entropy)
     1841    0.398    0.000    0.398    0.000 {built-in method stack}
     7356    0.038    0.000    0.207    0.000 functional.py:2158(nll_loss)
     7356    0.012    0.000    0.162    0.000 functional.py:1567(log_softmax)
     7356    0.148    0.000    0.148    0.000 {method 'log_softmax' of 'torch._C._TensorBase' objects}
     7356    0.142    0.000    0.142    0.000 {built-in method torch._C._nn.nll_loss}
     3682    0.125    0.000    0.125    0.000 {method 'ne' of 'torch._C._TensorBase' objects}
     1841    0.058    0.000    0.058    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
     7356    0.052    0.000    0.052    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
     3682    0.015    0.000    0.051    0.000 tensor.py:367(split)
     1841    0.047    0.000    0.047    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
    14712    0.038    0.000    0.038    0.000 module.py:758(__getattr__)
     1841    0.021    0.000    0.021    0.000 {method 'split_with_sizes' of 'torch._C._TensorBase' objects}
     1841    0.013    0.000    0.013    0.000 {function Tensor.split at 0x7f5f9d4b8560}
     1841    0.004    0.000    0.013    0.000 contextlib.py:116(__exit__)
    14712    0.011    0.000    0.011    0.000 {method 'size' of 'torch._C._TensorBase' objects}
     7356    0.009    0.000    0.009    0.000 {built-in method torch._C._get_tracing_state}
     1841    0.001    0.000    0.009    0.000 {built-in method builtins.next}
     7356    0.009    0.000    0.009    0.000 functional.py:2415(<listcomp>)
     1841    0.003    0.000    0.008    0.000 profilers.py:54(profile)
     7356    0.007    0.000    0.007    0.000 functional.py:2204(<listcomp>)
    29424    0.005    0.000    0.005    0.000 {method 'values' of 'collections.OrderedDict' objects}
    14712    0.005    0.000    0.005    0.000 {built-in method builtins.any}
     1841    0.003    0.000    0.005    0.000 profilers.py:209(stop)
    22068    0.004    0.000    0.004    0.000 __init__.py:2277(is_scripting)
    14712    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     7356    0.003    0.000    0.003    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     7356    0.003    0.000    0.003    0.000 _reduction.py:7(get_enum)
     1841    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     5523    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     1841    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
