
Profiler Report

Profile stats for: validation_step_end
         178813 function calls in 58.478 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1845    0.050    0.000   58.465    0.032 model.py:169(validation_step_end)
     3690   57.226    0.016   57.226    0.016 {method 'masked_select' of 'torch._C._TensorBase' objects}
     9217    0.050    0.000    0.552    0.000 model.py:175(<genexpr>)
     7372    0.037    0.000    0.424    0.000 module.py:537(__call__)
     1845    0.396    0.000    0.396    0.000 {built-in method stack}
     7372    0.022    0.000    0.373    0.000 loss.py:914(forward)
     7372    0.021    0.000    0.342    0.000 functional.py:1950(cross_entropy)
     7372    0.026    0.000    0.188    0.000 functional.py:1770(nll_loss)
     7372    0.149    0.000    0.149    0.000 {built-in method torch._C._nn.nll_loss}
     7372    0.006    0.000    0.133    0.000 functional.py:1296(log_softmax)
     7372    0.128    0.000    0.128    0.000 {method 'log_softmax' of 'torch._C._TensorBase' objects}
     3690    0.078    0.000    0.078    0.000 {method 'ne' of 'torch._C._TensorBase' objects}
     3690    0.014    0.000    0.061    0.000 tensor.py:302(split)
     1845    0.056    0.000    0.056    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
     7372    0.046    0.000    0.046    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
     1845    0.045    0.000    0.045    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
    14744    0.041    0.000    0.041    0.000 module.py:577(__getattr__)
     1845    0.027    0.000    0.027    0.000 {method 'split_with_sizes' of 'torch._C._TensorBase' objects}
     1845    0.018    0.000    0.018    0.000 {function Tensor.split at 0x7f087a992320}
     1845    0.004    0.000    0.012    0.000 contextlib.py:116(__exit__)
     7372    0.009    0.000    0.009    0.000 {built-in method torch._C._get_tracing_state}
     1845    0.001    0.000    0.009    0.000 {built-in method builtins.next}
    14744    0.008    0.000    0.008    0.000 {method 'size' of 'torch._C._TensorBase' objects}
     1845    0.003    0.000    0.007    0.000 profilers.py:40(profile)
     1845    0.003    0.000    0.005    0.000 profilers.py:195(stop)
    14744    0.003    0.000    0.003    0.000 {method 'values' of 'collections.OrderedDict' objects}
     7372    0.003    0.000    0.003    0.000 _reduction.py:6(get_enum)
     7372    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     7372    0.002    0.000    0.002    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     3690    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     1845    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1845    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: on_train_start
         139 function calls in 0.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 callback_hook.py:45(on_train_start)
        1    0.000    0.000    0.001    0.001 progress.py:305(on_train_start)
        1    0.000    0.000    0.001    0.001 progress.py:256(init_train_tqdm)
        1    0.000    0.000    0.000    0.000 std.py:511(__new__)
        1    0.000    0.000    0.000    0.000 _monitor.py:32(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:834(start)
