AI2_Data,CN_Data,rs,bs,acb,ws,dr,low,high,accuracy
physicaliqa-10pc,all_cs_20k,10061880,3,2,150,0,66.6,70.6,68.7
physicaliqa-10pc,all_cs_20k,10061880,4,8,150,0.3,62.4,66.8,64.6
physicaliqa,all_cs_20k,10061880,4,8,150,0.3,75.1,78.8,77.0
physicaliqa-10pc,No CN,10061880,4,8,150,0.3,64.5,68.7,66.6
physicaliqa,No CN,10061880,4,8,150,0.3,75.2,79.1,77.1
physicaliqa-10pc,all_cs_20k,10061880,4,8,150,0.5,57.8,62.3,60.0
physicaliqa,all_cs_20k,10061880,4,8,150,0.5,75.0,78.9,77.0
physicaliqa-10pc,No CN,10061880,4,8,150,0.5,59.7,64.1,62.0
physicaliqa,No CN,10061880,4,8,150,0.5,76.3,80.0,78.2
physicaliqa-10pc,all_cs_20k,10061880,4,8,300,0,65.1,69.3,67.2
physicaliqa,all_cs_20k,10061880,4,8,300,0,76.2,79.8,78.1
physicaliqa-10pc,No CN,10061880,3,2,150,0.5,69.0,73.1,71.1
physicaliqa-10pc,No CN,10061880,4,8,300,0,54.5,59.1,56.8
physicaliqa,No CN,10061880,4,8,300,0,73.6,77.5,75.6
physicaliqa-10pc,all_cs_20k,10061880,4,8,300,0.3,62.4,66.8,64.6
physicaliqa,all_cs_20k,10061880,4,8,300,0.3,74.9,78.7,76.8
physicaliqa-10pc,No CN,10061880,4,8,300,0.3,65.2,69.4,67.2
physicaliqa,No CN,10061880,4,8,300,0.3,75.2,79.1,77.1
physicaliqa-10pc,all_cs_20k,10061880,4,8,300,0.5,62.6,66.8,64.7
physicaliqa,all_cs_20k,10061880,4,8,300,0.5,75.0,78.9,77.0
physicaliqa-10pc,No CN,10061880,4,8,300,0.5,59.7,64.1,62.0
physicaliqa,No CN,10061880,4,8,300,0.5,76.3,80.0,78.2
physicaliqa,No CN,10061880,3,2,150,0.5,76.6,80.4,78.4
physicaliqa-10pc,all_cs_20k,10061880,4,16,150,0,63.1,67.6,65.2
physicaliqa,all_cs_20k,10061880,4,16,150,0,75.1,79.1,77.2
